Time	CFP	YFP	
Seconds	mV	mV	
			
0	3018,37	3117,26
1	2977,68	3122,14
2	2947,36	3098,13
3	2955,50	3102,61
4	2988,26	3138,82
5	3004,33	3127,02
6	2978,49	3126,82
7	2921,93	3127,23
8	2890,39	3107,90
9	2976,87	3067,00
10	2999,15	3089,18
11	2895,28	3133,53
12	2948,99	3157,13
13	2904,84	3126,21
14	2886,33	3125,19
15	2897,92	3115,83
16	2967,10	3167,61
17	2991,72	3150,62
18	2959,78	3073,10
19	2904,84	3114,41
20	2903,21	3095,28
21	2901,99	3108,71
22	2875,13	3073,31
23	2896,91	3106,27
24	2880,42	3131,09
25	2849,09	3084,29
26	2837,49	3088,16
27	2933,33	3105,05
28	2914,40	3105,66
29	2895,68	3114,81
30	2893,65	3139,43
31	3011,66	3149,81
32	3048,69	3097,72
33	2814,91	3112,98
34	2893,65	3104,03
35	2856,42	3162,42
36	2875,54	3128,85
37	2875,13	3136,99
38	2943,29	3158,15
39	2883,88	3161,41
40	2884,70	3080,02
41	2893,85	3106,47
42	2876,97	3153,68
43	2866,39	3114,61
44	2864,25	3130,68
45	2867,61	3131,91
46	2852,35	3108,71
47	2886,53	3083,07
48	2840,75	3124,99
49	2889,58	3124,99
50	2935,67	3134,35
51	2907,08	3167,92
52	2917,25	3132,72
53	2878,39	3167,31
54	2798,43	3091,21
55	2873,51	3106,07
56	2863,94	3202,30
57	2879,81	3160,59
58	2908,50	3187,04
59	2755,50	3122,14
60	2822,64	3176,67
61	2799,24	3191,32
62	2775,23	3162,63
63	2806,26	3172,80
64	2845,84	3195,59
65	2863,33	3202,10
66	2781,54	3139,23
67	2821,83	3124,99
68	2921,32	3151,84
69	2941,06	3147,16
70	2861,50	3156,73
71	2844,41	3190,50
72	2901,38	3179,72
73	2882,26	3179,52
74	2818,98	3161,41
75	2827,12	3161,20
76	2840,75	3195,39
77	2873,30	3177,07
78	2824,88	3161,41
79	2817,76	3198,64
80	2918,68	3187,65
81	2781,14	3177,68
82	2800,26	3136,18
83	2794,05	3147,47
84	2781,54	3146,76
85	2791,51	3122,75
86	2760,79	3209,22
87	2837,90	3146,76
88	2709,31	3152,66
89	2773,61	3162,83
90	2752,24	3202,71
91	2872,49	3169,14
92	2832,81	3185,82
93	2815,11	3216,95
94	2927,83	3189,08
95	2752,24	3166,70
96	2691,81	3144,72
97	2786,02	3163,44
98	2809,42	3154,49
99	2831,59	3115,22
100	2753,26	3166,90
101	2803,31	3162,63
102	2746,14	3127,63
103	2760,59	3142,28
104	2712,26	3188,67
105	2730,68	3165,68
106	2760,79	3220,21
107	2788,66	3214,92
108	2789,68	3179,72
109	2810,23	3215,53
110	2771,17	3149,00
111	2817,55	3153,88
112	2792,33	3178,91
113	2771,17	3169,55
114	2780,12	3166,70
115	2813,49	3175,85
116	2818,57	3140,04
117	2830,07	3184,70
118	2797,62	3181,75
119	2843,19	3170,56
120	2769,54	3159,58
121	2744,51	3166,70
122	2825,49	3186,03
123	2809,82	3210,85
124	2727,52	3188,37
125	2757,33	3153,27
126	2761,20	3172,60
127	2827,12	3162,83
128	2757,53	3197,62
129	2618,98	3157,13
130	2684,08	3117,66
131	2700,36	3185,62
132	2726,00	3164,66
133	2766,89	3164,26
134	2762,82	3185,21
135	2811,04	3125,60
136	2853,57	3148,39
137	2719,89	3173,72
138	2819,59	3171,38
139	2696,90	3152,25
140	2708,50	3189,89
141	2792,73	3140,65
142	2794,36	3123,97
143	2820,61	3158,56
144	2802,60	3137,70
145	2759,57	3114,20
146	2704,02	3140,04
147	2750,41	3158,36
148	2766,28	3131,09
149	2667,20	3135,57
150	2724,57	3179,72
151	2717,65	3142,69
152	2786,43	3159,07
153	2825,49	3271,07
154	2884,29	3370,36
155	2939,63	3379,72
